Time[s], D+, D-
6.233409480000000, 0, 1
6.233409560000000, 1, 0
6.233409720000000, 0, 0
6.233409880000000, 1, 0
6.234407120000000, 0, 1
6.234407200000000, 1, 0
6.234407280000000, 0, 1
6.234407360000001, 1, 0
6.234407440000000, 0, 1
6.234407520000000, 1, 0
6.234407600000000, 0, 1
6.234407840000000, 1, 0
6.234408000000000, 1, 1
6.234408040000000, 0, 1
6.234408120000000, 1, 0
6.234408280000000, 0, 1
6.234408680000000, 1, 0
6.234408760000000, 0, 1
6.234408920000000, 1, 0
6.234409000000000, 1, 1
6.234409040000000, 0, 1
6.234409200000000, 1, 0
6.234409440000000, 0, 1
6.234409680000000, 1, 0
6.234409760000000, 0, 0
6.234409920000000, 1, 0
6.235407160000000, 0, 1
6.235407240000000, 1, 0
6.235407320000000, 0, 1
6.235407400000000, 1, 0
6.235407480000000, 0, 1
6.235407560000001, 1, 0
6.235407640000000, 0, 1
6.235407880000000, 1, 0
6.235408080000000, 0, 1
6.235408160000000, 1, 0
6.235408320000000, 0, 1
6.235408480000000, 1, 0
6.235408560000000, 0, 1
6.235408640000000, 1, 0
6.235408800000000, 0, 1
6.235408960000000, 1, 1
6.235409000000000, 1, 0
6.235409080000000, 0, 1
6.235409240000000, 1, 0
6.235409400000000, 0, 1
6.235409480000000, 1, 0
6.235409720000000, 0, 1
6.235409800000000, 0, 0
6.235409960000000, 1, 0
6.236407200000000, 0, 1
6.236407280000000, 1, 0
6.236407360000000, 0, 1
6.236407440000000, 1, 0
6.236407520000000, 0, 1
6.236407600000000, 1, 0
6.236407680000000, 0, 1
6.236407920000000, 1, 0
6.236408120000000, 0, 1
6.236408200000001, 1, 0
6.236408360000000, 0, 1
6.236408600000000, 1, 0
6.236408680000000, 0, 1
6.236408840000000, 1, 0
6.236409000000000, 1, 1
6.236409040000000, 0, 1
6.236409120000000, 1, 0
6.236409280000000, 0, 1
6.236409600000000, 1, 0
6.236409680000000, 0, 1
6.236409840000000, 0, 0
6.236410040000000, 1, 0
6.237407240000000, 0, 1
6.237407320000000, 1, 0
6.237407400000000, 0, 1
6.237407480000000, 1, 0
6.237407560000000, 1, 1
6.237407600000000, 0, 1
6.237407640000000, 1, 1
6.237407680000000, 1, 0
6.237407760000000, 0, 1
6.237408000000000, 1, 0
6.237408160000000, 0, 1
6.237408240000000, 1, 0
6.237408400000001, 0, 1
