Time [s],Byte
10.385519875000000,0x2B
10.385520500000000,0x55
10.402519375000001,0x88
10.402519937499999,0xA5
10.402520624999999,0x3C
10.402521249999999,0xBD
10.413519875000000,0x88
10.413520437500001,0xA5
10.413521125000001,0x47
10.413521749999999,0xBD
10.417520062500000,0x88
10.417520625000000,0xA5
10.417521312500000,0x4B
10.417521937500000,0xF5
10.421520250000000,0x88
10.421520812500001,0xA5
10.421521500000001,0x4F
10.421522124999999,0xCD
10.431520687500001,0x88
10.431521249999999,0xA5
10.431521937499999,0x59
10.431522562500000,0xAD
10.452521624999999,0x88
10.452522187500000,0xA5
10.452522875000000,0x6E
10.452523500000000,0xBD
10.506524062500000,0x88
10.506524625000001,0xA5
10.506525312500001,0xA4
10.506525999999999,0x9D
10.513524374999999,0x88
10.513524937500000,0xA5
10.513525625000000,0xAB
10.513526312500000,0x95
10.516524499999999,0x88
10.516525062500000,0xA5
10.516525750000000,0xAE
10.516526437500000,0x55
10.531525187500000,0x88
10.531525750000000,0xA5
10.531526437500000,0xBD
10.531527125000000,0xF5
10.577527249999999,0x88
10.577527812500000,0xA5
10.577528500000000,0xEB
10.577529125000000,0xCD
10.595528062500000,0x88
10.595528625000000,0xA5
10.595529312500000,0xFD
10.595530000000000,0xAD
10.634529812500000,0x88
10.634530375000001,0xA5
10.634531062500001,0x24
10.634531687500001,0x56
10.641530124999999,0x88
10.641530687500000,0xA5
10.641531375000000,0x2B
10.641532000000000,0x5E
10.644530250000001,0x88
10.644530812499999,0xA5
10.644531499999999,0x2E
10.644532125000000,0x9E
10.683532000000000,0x88
10.683532562500000,0xA5
10.683533250000000,0x55
10.683533875000000,0x9E
10.684532062500001,0x88
10.684532624999999,0xA5
10.684533312499999,0x56
10.684533937499999,0xDE
10.687532187500000,0x88
10.687532750000001,0xA5
10.687533437500001,0x59
10.687534062499999,0xD6
10.719533625000000,0x88
10.719534187500001,0xA5
10.719534875000001,0x79
10.719535499999999,0x5E
10.764535625000001,0x88
10.764536187499999,0xA5
10.764536874999999,0xA6
10.764537499999999,0x5E
10.773536062500000,0x88
10.773536625000000,0xA5
10.773537312500000,0xAF
10.773537937500000,0xD6
10.826538437500000,0x88
10.826539000000000,0xA5
10.826539687500000,0xE4
10.826540312500001,0xBE
10.833538750000001,0x88
10.833539312499999,0xA5
10.833539999999999,0xEB
10.833540624999999,0xB6
10.890541312500000,0x88
10.890541875000000,0xA5
10.890542562500000,0x24
10.890543187500000,0x7F
10.900541750000000,0x88
10.900542312500001,0xA5
10.900543000000001,0x2E
10.900543624999999,0xB7
10.901541812500000,0x88
10.901542375000000,0xA5
10.901543062500000,0x2F
10.901543687500000,0x4F
10.922542750000000,0x88
10.922543312500000,0xA5
10.922544000000000,0x44
10.922544625000000,0xAF
10.925542875000000,0x88
10.925543437500000,0xA5
10.925544125000000,0x47
10.925544750000000,0xEF
10.940543562500000,0x88
10.940544125000001,0xA5
10.940544812500001,0x56
10.940545437500001,0xF7
10.979545312500001,0x88
10.979545874999999,0xA5
10.979546562499999,0x7D
10.979547187500000,0x4F
11.021547187500000,0x88
11.021547750000000,0xA5
11.021548437500000,0xA7
11.021549125000000,0x8F
11.035547812500001,0x88
11.035548374999999,0xA5
11.035549062499999,0xB5
11.035549749999999,0xD7
11.060548937500000,0x88
11.060549500000000,0xA5
11.060550187500001,0xCE
11.060550812500001,0xD7
11.405564437500001,0x88
11.405564999999999,0xA5
11.405565687499999,0x27
11.405566312500000,0xC9
11.419565062500000,0x88
11.419565625000001,0xA5
11.419566312500001,0x35
11.419566937500001,0x91
11.420565125000000,0x88
11.420565687500000,0xA5
11.420566375000000,0x36
11.420567000000000,0xD1
11.434565750000001,0x88
11.434566312499999,0xA5
11.434566999999999,0x44
11.434567625000000,0x59
11.440566000000000,0x88
11.440566562500001,0xA5
11.440567250000001,0x4A
11.440567874999999,0xA9
11.441566062500000,0x88
11.441566625000000,0xA5
11.441567312500000,0x4B
11.441567937500000,0x51
11.444566187500000,0x88
11.444566750000000,0xA5
11.444567437500000,0x4E
11.444568062500000,0x91
11.445566250000001,0x88
